"County","Waste_Type","Permit_ID","Permit_Name","Address3","City","Zip","lat","long"
"Alamance","CD","0104-CDLF-1993","Austin Quarter C&D Unit","2701 Austin Quarter Road","Graham","27253",35.942707,-79.29287
"Alamance","CD","0105-CDLF-1998","Cobles C&D Landfill","5833 Foster Store Rd","Liberty","27298",35.949303,-79.524254
"Alamance","CD","0105-TP-","Cobles C&D T&P","5833 Foster Store Road","Liberty","27298",35.949303,-79.524254
"Brunswick","CD","1007-CDLF-1997","Brunswick County CDLF","172 Landfill Rd NE","Bolivia","28422",34.042538,-78.250946
"Buncombe","CD","1107-CDLF-1998","Buncombe County C&D Unit","81 Panther Branch Road","Alexander","28701",35.727463,-82.64326
"Burke","CD","1203-CDLF-2014","Burke County Johns River Waste Management","2500 Marsh Trail","Morganton","28680-1486",35.787292,-81.64753
"Cabarrus","CD","1306-CDLF-2000","Highway 49 C&D Landfill & Recycling Greenway Waste","2105 Speedrail Court","Concord","28025",35.33737,-80.61262
"Cabarrus","CD","1306-COMPOST-2019","Highway 49 C&D Landfill & Recycling Greenway Waste","2105 Speedrail Court","Concord","28025",35.33737,-80.61262
"Carteret","CD","1607-TRANSFER-2019","Green Recycling Transfer Station","166 Center St","Newport ","28570",34.72449,-76.927216
"Catawba","CD","1803-CDLF-","Blackburn Resource Recovery C&D Facility","3993 Rocky Ford Road","Newton","28658",35.609146,-81.31236
"Cumberland","CD","2601-CDLF-1997","Cumberland County C&D Unit","698 Ann Street","Fayetteville","28301",35.0615,-78.87222
"Currituck","CD","2705T-TRANSFER-2011","Soundside C&D Waste Transfer & Recycling Center","7565 Caratoke Hwy","Jarvisburg","27947",36.168537,-75.85994
"Currituck","CD","2706-TRANSFER-2013","Bay Disposal, LLC","8546 Caratoke Hwy","Powells Point","27966",36.10987,-75.82435
"Davidson","CD","2908-TRANSFER-2013","Todco, Inc. - C&D Transfer","1123 Roy Lopp Road","Lexington","27292",35.82904,-80.17522
"Durham","CD","3217-MWP-2019","Wall Recycling Holman Street Facility","2310 Garner Rd.","Raleigh","27610",35.7487,-78.63173
"Forsyth","CD","3424-TRANSFER-2020","Abbey Green Transfer Station","5030 Overdale Road","Winston-Salem","27017",36.031734,-80.233116
"Franklin","CD","3505-MWP-2020","Wall Recycling","2310 Garner Rd.","Raleigh","27610",35.7487,-78.63173
"Franklin","CD","3505-TP-2020","Wall Recycling","2310 Garner Rd.","Raleigh","27610",35.7487,-78.63173
"Gaston","CD","3606-CDLF-1995","Gaston County C&D Landfill","3155 Philadelphia Church Road","Dallas","28168",35.38615,-81.17044
"Guilford","CD","4103-CDLF-1998","Greensboro, City of White Street Landfill","2503 White Street","Greensboro","27405",36.108196,-79.72976
"Guilford","CD","4116-CDLF-2012","WI High Point Landfill, LLC","5830 Riverdale Dr","Jamestown","27282",35.951637,-79.91992
"Guilford","CD","4117-CDLF-2008","A-1 Sandrock C&D Landfill","2091 Bishop Road","Greensboro","27406",35.993618,-79.84463
"Guilford","CD","4117-TP-2009","A-1 Sandrock Treatment and Processing Facility","2091 Bishop Road","Greensboro","27406",35.993618,-79.84463
"Guilford","CD","4122T-TRANSFER-2012","WI Burnt Poplar Transfer LLC","6313 Burnt Poplar Rd","Greensboro","27409",36.072575,-79.92364
"Harnett","CD","4302-CDLF-2018","Harnett County Dunn-Erwin C&D Landfill","449 Daniels Road","Dunn","28334",35.369686,-78.64849
"Henderson","CD","4508-TP-2020","Garbage Pal, LLC","424 Mills Gap Road","Arden","28704",35.484184,-82.49231
"Johnston","CD","5103-CDLF-","Johnston County C&D Landfill","680 County Home Road","Smithfield","27577",35.50802,-78.42975
"Lenoir","CD","5403-CDLF-1997","Lenoir County CDLF","2949 Hodges Farm Road","La Grange","28551",35.293537,-77.71329
"Lincoln","CD","5503-CDLF-1999","Lincoln County C&D Unit","5291 Crouse Road","Crouse","28033",35.43051,-81.3538
"Lincoln","CD","5504-CDLF-1999","Lake Norman Landfill","7099 Quarry Ln","Stanley","28164",35.42893,-81.014694
"Madison","CD","5803-CDLF-1995","Madison County C&D Unit","271 Craig Rudisill Road","Marshall","28753",35.80921,-82.71679
