"address","latitude","longitude","County.x","Waste_Type.x","Operatio_ Type.x","Permit_ID.x","Permit_Name.x","Status.x","Contact.x","Telephone.x","Address1.x","Address2.x","City.x","Sate.x","Zip.x","County.y","Waste_Type.y","Operatio_ Type.y","Permit_ID.y","Permit_Name.y","Status.y","Contact.y","Telephone.y","Address1.y","Address2.y","City.y","Sate.y","Zip.y"
"2701 Austin Quarter Road","35.941187","-79.289691","Alamance","CD","LF","0104-CDLF-1993","Austin Quarter C&D Unit","Active","Mr. Richard Hill","(336) 376-0411","2701 Austin Quarter Road",NA,"Graham","NC","27253","Alamance","CD","LF","0104-CDLF-1993","Austin Quarter C&D Unit","Active","Mr. Richard Hill","(336) 376-0411","2701 Austin Quarter Road",NA,"Graham","NC","27253"
"5833 Foster Store Rd","35.9462772487775","-79.5240548289515","Alamance","CD","LF","0105-CDLF-1998","Cobles C&D Landfill","Active","Mrs. Deanna Martin","(336) 264-4894","5833 Foster Store Rd",NA,"Liberty","NC","27298","Alamance","CD","LF","0105-CDLF-1998","Cobles C&D Landfill","Active","Mrs. Deanna Martin","(336) 264-4894","5833 Foster Store Rd",NA,"Liberty","NC","27298"
"5833 Foster Store Road","35.9462772487775","-79.5240548289515","Alamance","CD","TP","0105-TP-","Cobles C&D T&P","Active","Mrs. Deanna Martin","(336) 565-4750","5833 Foster Store Road",NA,"Liberty","NC","27298","Alamance","CD","TP","0105-TP-","Cobles C&D T&P","Active","Mrs. Deanna Martin","(336) 565-4750","5833 Foster Store Road",NA,"Liberty","NC","27298"
"2500 Paynes Dairy Road","35.852015","-81.140216","Alexander","CD","LF","0201-CDLF-1997","Alexander County CDLF","Active","Mr. Josh Mitchell","(828) 632-1101","621 Liledoun Rd","2500 Paynes Dairy Road","Taylorsville","NC","28681","Alexander","CD","LF","0201-CDLF-1997","Alexander County CDLF","Active","Mr. Josh Mitchell","(828) 632-1101","621 Liledoun Rd","2500 Paynes Dairy Road","Taylorsville","NC","28681"
"2175 Brushy Creek Rd","30.9346257854377","-88.4719020469387","Avery","CD","LF","0603-CDLF-1996","Avery County C&D Landfill","Active","Mr. William Foster","(828) 737-5420","PO Box 640","2175 Brushy Creek Rd","Newland","NC","28657","Avery","CD","LF","0603-CDLF-1996","Avery County C&D Landfill","Active","Mr. William Foster","(828) 737-5420","PO Box 640","2175 Brushy Creek Rd","Newland","NC","28657"
"81 Panther Branch Road","37.1454465867574","-81.7031412005163","Buncombe","CD","LF","1107-CDLF-1998","Buncombe County C&D Unit","Active","Mr. Dane Pedersen","(828) 250-5460","81 Panther Branch Road",NA,"Alexander","NC","28701","Buncombe","CD","LF","1107-CDLF-1998","Buncombe County C&D Unit","Active","Mr. Dane Pedersen","(828) 250-5460","81 Panther Branch Road",NA,"Alexander","NC","28701"
"2500 Marsh Trail","35.787539","-81.648271","Burke","CD","LF","1203-CDLF-2014","Burke County Johns River Waste Management","Active","Mr. Mark Delehant","(828) 764-9064","PO Box 1486","2500 Marsh Trail","Morganton","NC","28680-1486","Burke","CD","LF","1203-CDLF-2014","Burke County Johns River Waste Management","Active","Mr. Mark Delehant","(828) 764-9064","PO Box 1486","2500 Marsh Trail","Morganton","NC","28680-1486"
"4441 Irish Potato Road","35.50291","-80.541427","Cabarrus","CD","LF","1302-CDLF-2006","Cabarrus County CDLF","Active","Mr. Kevin Grant","(704) 920-3209","PO Box 707","4441 Irish Potato Road","Concord","NC","28026","Cabarrus","CD","LF","1302-CDLF-2006","Cabarrus County CDLF","Active","Mr. Kevin Grant","(704) 920-3209","PO Box 707","4441 Irish Potato Road","Concord","NC","28026"
"2105 Speedrail Court","35.3375094875488","-80.6140471675194","Cabarrus","CD","LF","1306-CDLF-2000","Highway 49 C&D Landfill & Recycling Greenway Waste","Active","Mr. Andrew Brown","(704) 201-5944","2105 Speedrail Court",NA,"Concord","NC","28025","Cabarrus","CD","LF","1306-CDLF-2000","Highway 49 C&D Landfill & Recycling Greenway Waste","Active","Mr. Andrew Brown","(704) 201-5944","2105 Speedrail Court",NA,"Concord","NC","28025"
"2105 Speedrail Court","35.3375094875488","-80.6140471675194","Cabarrus","CD","LF","1306-CDLF-2000","Highway 49 C&D Landfill & Recycling Greenway Waste","Active","Mr. Andrew Brown","(704) 201-5944","2105 Speedrail Court",NA,"Concord","NC","28025","Cabarrus","CD","Compost","1306-COMPOST-2019","Highway 49 C&D Landfill & Recycling Greenway Waste","Active","Mr. Andrew Burris","(704) 201-5944","2105 Speedrail Court",NA,"Concord","NC","28025"
